Topic,Count,Name,Representation
0,285,0_ukraine_krieg_russland_eigentlich,"['ukraine', 'krieg', 'russland', 'eigentlich', 'paul', 'wladimir', 'sanktionen', 'welt', 'russischen', 'deutschen']"
1,118,1_ukrainer_soldaten_panzer_stadt,"['ukrainer', 'soldaten', 'panzer', 'stadt', 'aufnahmen', 'russland', 'front', 'kilometer', 'region', 'tatsächlich']"
2,114,2_corona_impfpflicht_lauterbach_impfung,"['corona', 'impfpflicht', 'lauterbach', 'impfung', 'eigentlich', 'politik', 'pandemie', 'zahlen', 'thema', 'covid']"
3,20,3_deutschland_flüchtlinge_2015_ukraine,"['deutschland', 'flüchtlinge', '2015', 'ukraine', 'kinder', '000', 'kommunen', 'polizei', 'einwanderung', 'registrieren']"
