Topic,Count,Name,Representation
-1,7,-1_land_remigration_millionen_leute,"['land', 'remigration', 'millionen', 'leute', 'deutsche', 'migrationspolitik', 'asylanten', 'assimilierten', 'videos', 'identitätspolitik']"
0,270,0_deutschland_ukraine_leute_krieg,"['deutschland', 'ukraine', 'leute', 'krieg', 'sogar', 'corona', 'politik', 'fall', 'land', 'prozent']"
1,21,1_deutschland_000_leute_migranten,"['deutschland', '000', 'leute', 'migranten', '2015', 'grenzen', 'kinder', 'israel', 'bleiben', 'baerbock']"
