Topic,Count,Name,Representation
-1,4,-1_friedrich_macron_präsident_ukrainischen,"['friedrich', 'macron', 'präsident', 'ukrainischen', 'französischen', 'deutschland', 'ringtausch', 'baerbock', 'annalena', 'warschau']"
0,61,0_russland_krieg_deutschland_präsident,"['russland', 'krieg', 'deutschland', 'präsident', 'tatsächlich', 'europa', 'staaten', 'us', 'land', 'russen']"
1,30,1_ukraine_stadt_soldaten_mariupol,"['ukraine', 'stadt', 'soldaten', 'mariupol', 'panzer', 'russen', 'präsident', '000', 'zivilisten', 'gesehen']"
2,19,2_impfpflicht_corona_impfung_pandemie,"['impfpflicht', 'corona', 'impfung', 'pandemie', 'herbst', 'tatsächlich', 'deutschland', 'maske', 'virus', 'gesundheitsminister']"
3,19,3_deutschland_union_ukraine_grünen,"['deutschland', 'union', 'ukraine', 'grünen', 'bundesregierung', 'glaube', 'politik', 'taurus', 'leute', 'kanzler']"
