video,turn_index,start,end,topic
TV-20220120-2022-0200.webl.h264,9,179.318,216.703,-1
TV-20220120-2022-0200.webl.h264,10,218.44,267.59700000000004,-1
TV-20220120-2022-0200.webl.h264,11,269.793,285.079,-1
TV-20220120-2022-0200.webl.h264,12,285.8,325.074,-1
TV-20220120-2022-0200.webl.h264,13,326.425,350.563,0
TV-20220120-2022-0200.webl.h264,14,352.726,456.339,0
TV-20220120-2022-0200.webl.h264,15,457.745,506.856,3
TV-20220120-2022-0200.webl.h264,16,510.751,538.678,3
TV-20220120-2022-0200.webl.h264,17,540.436,575.99,72
TV-20220120-2022-0200.webl.h264,18,576.04,599.304,72
TV-20220120-2022-0200.webl.h264,19,599.887,611.27,72
TV-20220120-2022-0200.webl.h264,21,620.135,634.289,72
TV-20220120-2022-0200.webl.h264,22,634.339,653.756,72
TV-20220120-2022-0200.webl.h264,23,653.786,678.908,4
TV-20220120-2022-0200.webl.h264,24,680.332,689.058,-1
TV-20220120-2022-0200.webl.h264,26,700.584,716.901,37
TV-20220120-2022-0200.webl.h264,27,718.364,733.6,4
TV-20220120-2022-0200.webl.h264,29,738.131,769.443,4
TV-20220120-2022-0200.webl.h264,30,771.181,786.408,-1
TV-20220120-2022-0200.webl.h264,31,787.874,833.227,11
TV-20220120-2022-0200.webl.h264,33,838.803,883.37,1
TV-20220120-2022-0200.webl.h264,34,885.877,904.118,21
TV-20220412-2221-1700.webl.h264,2,17.995,44.392,0
TV-20220412-2221-1700.webl.h264,3,46.301,158.203,30
TV-20220412-2221-1700.webl.h264,4,160.228,187.24200000000002,17
TV-20220412-2221-1700.webl.h264,5,188.687,207.687,34
TV-20220412-2221-1700.webl.h264,6,208.633,224.376,78
TV-20220412-2221-1700.webl.h264,9,241.476,251.434,9
TV-20220412-2221-1700.webl.h264,10,252.545,265.394,-1
TV-20220412-2221-1700.webl.h264,11,266.035,299.97200000000004,17
TV-20220412-2221-1700.webl.h264,12,301.599,325.44100000000003,-1
TV-20220412-2221-1700.webl.h264,13,327.191,359.036,-1
TV-20220412-2221-1700.webl.h264,14,359.086,375.945,0
TV-20220412-2221-1700.webl.h264,15,375.995,406.902,44
TV-20220412-2221-1700.webl.h264,16,406.952,440.32,-1
TV-20220412-2221-1700.webl.h264,18,448.712,563.866,119
TV-20220412-2221-1700.webl.h264,21,580.334,596.5120000000001,4
TV-20220412-2221-1700.webl.h264,22,596.562,605.657,37
TV-20220412-2221-1700.webl.h264,23,607.273,644.827,4
TV-20220412-2221-1700.webl.h264,24,648.007,661.838,-1
TV-20220412-2221-1700.webl.h264,27,668.191,718.021,11
TV-20220412-2221-1700.webl.h264,29,725.447,771.266,1
TV-20220412-2221-1700.webl.h264,30,773.945,791.846,2
TV-20221208-2022-2100.webl.h264,1,14.986,47.942,52
TV-20221208-2022-2100.webl.h264,3,62.8,76.838,24
TV-20221208-2022-2100.webl.h264,4,77.583,104.494,24
TV-20221208-2022-2100.webl.h264,5,106.114,124.56099999999999,95
TV-20221208-2022-2100.webl.h264,6,127.703,143.16400000000002,-1
TV-20221208-2022-2100.webl.h264,7,143.214,151.67000000000002,58
TV-20221208-2022-2100.webl.h264,9,163.278,212.93200000000002,152
TV-20221208-2022-2100.webl.h264,10,212.962,239.949,43
TV-20221208-2022-2100.webl.h264,11,242.365,257.119,-1
TV-20221208-2022-2100.webl.h264,12,257.169,265.361,-1
TV-20221208-2022-2100.webl.h264,13,266.549,284.921,43
TV-20221208-2022-2100.webl.h264,14,284.951,297.3,-1
TV-20221208-2022-2100.webl.h264,15,298.121,313.702,-1
TV-20221208-2022-2100.webl.h264,16,316.073,330.75100000000003,-1
TV-20221208-2022-2100.webl.h264,18,338.132,395.66,7
TV-20221208-2022-2100.webl.h264,19,397.465,421.07800000000003,132
TV-20221208-2022-2100.webl.h264,21,430.297,464.196,-1
TV-20221208-2022-2100.webl.h264,22,464.246,479.62,-1
TV-20221208-2022-2100.webl.h264,23,480.39,495.742,64
TV-20221208-2022-2100.webl.h264,24,499.631,626.307,12
TV-20221208-2022-2100.webl.h264,25,630.266,647.828,35
TV-20221208-2022-2100.webl.h264,26,647.858,659.456,113
TV-20221208-2022-2100.webl.h264,27,660.466,702.823,71
TV-20221208-2022-2100.webl.h264,28,703.909,716.755,25
TV-20221208-2022-2100.webl.h264,30,724.313,775.919,35
TV-20221208-2022-2100.webl.h264,31,777.563,870.822,35
TV-20221208-2022-2100.webl.h264,32,872.719,894.244,16
TV-20221208-2022-2100.webl.h264,33,895.766,943.601,1
TV-20221208-2022-2100.webl.h264,34,946.681,963.0120000000001,2
TV-20221117-2022-3700.webl.h264,1,7.742,47.677,7
TV-20221117-2022-3700.webl.h264,2,49.284,152.836,7
TV-20221117-2022-3700.webl.h264,3,154.796,177.604,30
TV-20221117-2022-3700.webl.h264,4,179.035,265.059,0
TV-20221117-2022-3700.webl.h264,5,266.949,346.291,-1
TV-20221117-2022-3700.webl.h264,6,348.451,445.987,68
TV-20221117-2022-3700.webl.h264,7,447.956,475.933,-1
TV-20221117-2022-3700.webl.h264,9,489.732,499.351,-1
TV-20221117-2022-3700.webl.h264,10,499.89,543.593,7
TV-20221117-2022-3700.webl.h264,11,544.746,561.3050000000001,-1
TV-20221117-2022-3700.webl.h264,13,569.881,623.899,-1
TV-20221117-2022-3700.webl.h264,14,626.136,671.254,23
TV-20221117-2022-3700.webl.h264,15,671.284,684.263,-1
TV-20221117-2022-3700.webl.h264,17,690.802,707.739,-1
TV-20221117-2022-3700.webl.h264,18,708.476,722.296,-1
TV-20221117-2022-3700.webl.h264,19,722.346,736.846,23
TV-20221117-2022-3700.webl.h264,20,738.45,758.601,-1
TV-20221117-2022-3700.webl.h264,21,760.337,788.006,24
TV-20221117-2022-3700.webl.h264,22,789.338,803.66,-1
TV-20221117-2022-3700.webl.h264,23,803.71,821.432,-1
TV-20221117-2022-3700.webl.h264,24,821.462,837.602,-1
TV-20221117-2022-3700.webl.h264,26,846.041,934.554,-1
TV-20221117-2022-3700.webl.h264,27,936.008,985.126,1
TV-20221117-2022-3700.webl.h264,28,988.456,1008.683,-1
TV-20221213-2021-0100.webl.h264,1,18.609,49.835,52
TV-20221213-2021-0100.webl.h264,2,51.856,68.582,23
TV-20221213-2021-0100.webl.h264,3,68.772,83.50699999999999,23
TV-20221213-2021-0100.webl.h264,4,84.202,100.12299999999999,-1
TV-20221213-2021-0100.webl.h264,5,100.153,110.89099999999999,123
TV-20221213-2021-0100.webl.h264,7,119.576,129.788,-1
TV-20221213-2021-0100.webl.h264,9,133.391,147.09300000000002,-1
TV-20221213-2021-0100.webl.h264,11,156.54,182.43800000000002,-1
TV-20221213-2021-0100.webl.h264,12,183.844,250.368,-1
TV-20221213-2021-0100.webl.h264,16,274.665,328.232,-1
TV-20221213-2021-0100.webl.h264,17,330.308,418.458,64
TV-20221213-2021-0100.webl.h264,18,420.347,447.67400000000004,44
TV-20221213-2021-0100.webl.h264,19,449.068,494.325,44
TV-20221213-2021-0100.webl.h264,20,494.924,508.733,0
TV-20221213-2021-0100.webl.h264,21,509.084,536.283,44
TV-20221213-2021-0100.webl.h264,22,538.365,569.8530000000001,-1
TV-20221213-2021-0100.webl.h264,23,571.4,633.4590000000001,67
TV-20221213-2021-0100.webl.h264,24,634.241,653.828,-1
TV-20221213-2021-0100.webl.h264,26,663.692,691.368,-1
TV-20221213-2021-0100.webl.h264,27,693.167,712.961,-1
TV-20221213-2021-0100.webl.h264,29,724.512,744.33,-1
TV-20221213-2021-0100.webl.h264,30,745.999,764.179,-1
TV-20221213-2021-0100.webl.h264,31,764.229,789.244,-1
TV-20221213-2021-0100.webl.h264,32,791.098,847.698,7
TV-20221213-2021-0100.webl.h264,33,849.503,896.11,1
TV-20221213-2021-0100.webl.h264,34,899.393,915.708,10
TV-20240102-2022-2100.webl.h264,1,18.178,46.104,43
TV-20240102-2022-2100.webl.h264,2,47.911,60.127,13
TV-20240102-2022-2100.webl.h264,3,60.177,76.996,13
TV-20240102-2022-2100.webl.h264,4,77.674,109.381,13
TV-20240102-2022-2100.webl.h264,5,111.338,122.447,13
TV-20240102-2022-2100.webl.h264,6,122.487,142.50400000000002,13
TV-20240102-2022-2100.webl.h264,7,143.355,155.84900000000002,-1
TV-20240102-2022-2100.webl.h264,9,160.939,188.24,19
TV-20240102-2022-2100.webl.h264,10,190.888,278.19100000000003,28
TV-20240102-2022-2100.webl.h264,11,280.035,304.332,0
TV-20240102-2022-2100.webl.h264,12,306.332,390.404,0
TV-20240102-2022-2100.webl.h264,13,392.35,418.345,90
TV-20240102-2022-2100.webl.h264,14,420.346,515.208,90
TV-20240102-2022-2100.webl.h264,15,516.841,570.961,5
TV-20240102-2022-2100.webl.h264,16,572.888,666.994,25
TV-20240102-2022-2100.webl.h264,17,668.644,693.476,8
TV-20240102-2022-2100.webl.h264,18,695.038,717.384,8
TV-20240102-2022-2100.webl.h264,19,717.854,734.98,8
TV-20240102-2022-2100.webl.h264,20,735.934,767.817,8
TV-20240102-2022-2100.webl.h264,21,768.307,782.344,8
TV-20240102-2022-2100.webl.h264,23,790.954,816.22,103
TV-20240102-2022-2100.webl.h264,24,818.667,836.0070000000001,103
TV-20240102-2022-2100.webl.h264,25,838.434,853.513,-1
TV-20240102-2022-2100.webl.h264,26,853.563,881.032,103
TV-20240102-2022-2100.webl.h264,27,881.062,890.538,8
TV-20240102-2022-2100.webl.h264,28,891.392,910.074,103
TV-20240102-2022-2100.webl.h264,30,915.49,963.467,1
TV-20240102-2022-2100.webl.h264,31,966.411,985.037,2
TV-20230615-2021-5800.webl.h264,0,4.411,50.767,52
TV-20230615-2021-5800.webl.h264,1,50.817,68.922,-1
TV-20230615-2021-5800.webl.h264,4,85.235,100.252,40
TV-20230615-2021-5800.webl.h264,5,100.302,111.91499999999999,14
TV-20230615-2021-5800.webl.h264,6,112.265,131.04500000000002,40
TV-20230615-2021-5800.webl.h264,8,138.866,154.394,14
TV-20230615-2021-5800.webl.h264,9,154.434,165.25,6
TV-20230615-2021-5800.webl.h264,12,186.193,213.71800000000002,100
TV-20230615-2021-5800.webl.h264,13,214.909,335.63800000000003,0
TV-20230615-2021-5800.webl.h264,14,337.503,391.781,10
TV-20230615-2021-5800.webl.h264,15,394.335,485.822,73
TV-20230615-2021-5800.webl.h264,16,488.2,540.336,41
TV-20230615-2021-5800.webl.h264,17,542.279,629.4830000000001,143
TV-20230615-2021-5800.webl.h264,18,631.799,656.0550000000001,62
TV-20230615-2021-5800.webl.h264,19,657.777,669.569,62
TV-20230615-2021-5800.webl.h264,21,673.433,725.207,62
TV-20230615-2021-5800.webl.h264,22,725.237,738.6370000000001,62
TV-20230615-2021-5800.webl.h264,23,739.709,747.28,62
TV-20230615-2021-5800.webl.h264,24,749.315,772.003,11
TV-20230615-2021-5800.webl.h264,26,782.608,798.002,45
TV-20230615-2021-5800.webl.h264,27,798.032,837.033,11
TV-20230615-2021-5800.webl.h264,29,844.141,889.719,1
TV-20230615-2021-5800.webl.h264,30,892.262,915.398,-1
TV-20231116-2023-3900.webl.h264,1,14.787,48.523,22
TV-20231116-2023-3900.webl.h264,2,48.573,56.894000000000005,-1
TV-20231116-2023-3900.webl.h264,3,57.572,73.106,8
TV-20231116-2023-3900.webl.h264,4,73.156,86.949,22
TV-20231116-2023-3900.webl.h264,7,103.602,120.35,8
TV-20231116-2023-3900.webl.h264,8,121.16,135.133,27
TV-20231116-2023-3900.webl.h264,11,152.039,203.51000000000002,8
TV-20231116-2023-3900.webl.h264,12,204.735,233.817,156
TV-20231116-2023-3900.webl.h264,13,235.45,261.087,6
TV-20231116-2023-3900.webl.h264,14,262.077,276.918,6
TV-20231116-2023-3900.webl.h264,16,284.386,299.295,12
TV-20231116-2023-3900.webl.h264,19,314.873,332.26300000000003,-1
TV-20231116-2023-3900.webl.h264,20,332.293,350.035,36
TV-20231116-2023-3900.webl.h264,21,351.785,376.195,7
TV-20231116-2023-3900.webl.h264,22,377.416,398.177,-1
TV-20231116-2023-3900.webl.h264,24,414.696,440.647,-1
TV-20231116-2023-3900.webl.h264,25,440.677,459.57300000000004,123
TV-20231116-2023-3900.webl.h264,26,460.223,470.731,-1
TV-20231116-2023-3900.webl.h264,27,472.601,501.946,5
TV-20231116-2023-3900.webl.h264,28,503.397,613.144,5
TV-20231116-2023-3900.webl.h264,29,615.115,641.343,-1
TV-20231116-2023-3900.webl.h264,30,643.081,726.337,127
TV-20231116-2023-3900.webl.h264,31,727.955,757.062,102
TV-20231116-2023-3900.webl.h264,32,759.008,839.152,-1
TV-20231116-2023-3900.webl.h264,33,840.931,931.976,-1
TV-20231116-2023-3900.webl.h264,34,933.463,978.996,1
TV-20231116-2023-3900.webl.h264,35,980.939,1001.129,2
TV-20230126-2020-2700.webl.h264,0,4.86,47.857,53
TV-20230126-2020-2700.webl.h264,1,49.108,65.42899999999999,-1
TV-20230126-2020-2700.webl.h264,2,66.568,80.402,78
TV-20230126-2020-2700.webl.h264,3,80.452,92.705,34
TV-20230126-2020-2700.webl.h264,4,94.182,109.508,80
TV-20230126-2020-2700.webl.h264,5,110.291,122.835,-1
TV-20230126-2020-2700.webl.h264,6,122.865,130.34400000000002,-1
TV-20230126-2020-2700.webl.h264,7,131.034,147.913,80
TV-20230126-2020-2700.webl.h264,8,149.927,174.73000000000002,0
TV-20230126-2020-2700.webl.h264,9,176.05,264.659,0
TV-20230126-2020-2700.webl.h264,10,266.428,318.49,6
TV-20230126-2020-2700.webl.h264,11,320.134,372.233,144
TV-20230126-2020-2700.webl.h264,12,373.058,387.221,144
TV-20230126-2020-2700.webl.h264,13,387.271,397.911,-1
TV-20230126-2020-2700.webl.h264,16,417.026,449.534,25
TV-20230126-2020-2700.webl.h264,17,451.176,524.093,25
TV-20230126-2020-2700.webl.h264,18,524.697,536.449,122
TV-20230126-2020-2700.webl.h264,19,537.606,563.009,25
TV-20230126-2020-2700.webl.h264,20,564.85,614.961,30
TV-20230126-2020-2700.webl.h264,21,618.351,651.2860000000001,47
TV-20230126-2020-2700.webl.h264,22,651.336,667.794,-1
TV-20230126-2020-2700.webl.h264,23,667.844,682.139,8
TV-20230126-2020-2700.webl.h264,24,683.404,694.398,91
TV-20230126-2020-2700.webl.h264,26,706.329,733.851,3
TV-20230126-2020-2700.webl.h264,27,736.121,774.014,3
TV-20230126-2020-2700.webl.h264,28,775.854,787.759,-1
TV-20230126-2020-2700.webl.h264,29,788.451,810.094,3
TV-20230126-2020-2700.webl.h264,30,810.886,818.233,46
TV-20230126-2020-2700.webl.h264,31,818.273,832.155,3
