Topic,Count,Name,Representation
-1,63,-1_ukraine_deutschland_euro_nacht,"['ukraine', 'deutschland', 'euro', 'nacht', 'präsident', 'land', 'milliarden', 'geld', '15', 'union']"
0,49,0_ukraine_deutschland_präsident_krieg,"['ukraine', 'deutschland', 'präsident', 'krieg', 'grad', 'nacht', 'norden', 'regen', 'euro', 'bleibt']"
1,34,1_deutschland_nacht_china_euro,"['deutschland', 'nacht', 'china', 'euro', 'land', 'union', 'präsident', '20', 'sonne', 'millionen']"
2,27,2_deutschland_ukraine_euro_grad,"['deutschland', 'ukraine', 'euro', 'grad', 'millionen', 'bundesregierung', 'corona', 'westen', 'china', 'putin']"
3,24,3_deutschland_impfpflicht_corona_präsident,"['deutschland', 'impfpflicht', 'corona', 'präsident', 'regen', 'norden', 'union', 'baerbock', 'macron', 'russische']"
4,24,4_deutschland_nacht_grad_euro,"['deutschland', 'nacht', 'grad', 'euro', 'polizei', 'us', 'regen', 'norden', '20', 'ukraine']"
5,14,5_hamas_gazastreifen_deutschland_israels,"['hamas', 'gazastreifen', 'deutschland', 'israels', 'norden', 'bodenoffensive', 'nacht', 'ukraine', 'regen', 'zivilbevölkerung']"
