Topic,Count,Name,Representation
-1,7,-1_russland_sanktionen_deutschland_präsident,"['russland', 'sanktionen', 'deutschland', 'präsident', 'brüssel', 'sicherheitsrat', 'danke', 'situation', 'welt', 'jan']"
0,184,0_ukraine_deutschland_russland_krieg,"['ukraine', 'deutschland', 'russland', 'krieg', 'europa', 'eigentlich', 'präsident', 'welt', 'bundeskanzler', 'union']"
1,140,1_ukraine_stadt_russischen_soldaten,"['ukraine', 'stadt', 'russischen', 'soldaten', 'russland', 'mariupol', 'präsident', 'ukrainer', 'odessa', 'kinder']"
2,64,2_impfpflicht_impfung_corona_pandemie,"['impfpflicht', 'impfung', 'corona', 'pandemie', 'lauterbach', 'virus', 'eigentlich', 'länder', 'professor', 'gesundheitsminister']"
3,29,3_deutschland_gas_bundesregierung_corona,"['deutschland', 'gas', 'bundesregierung', 'corona', 'thema', 'grünen', 'eigentlich', 'impfpflicht', 'fdp', 'energien']"
4,28,4_ukraine_guido_panzer_soldaten,"['ukraine', 'guido', 'panzer', 'soldaten', 'eigentlich', 'russischen', 'system', 'armee', 'bundeswehr', 'munition']"
5,25,5_ukraine_russland_präsident_olaf,"['ukraine', 'russland', 'präsident', 'olaf', 'nancy', 'soldaten', 'westen', 'invasion', 'tatsächlich', 'konflikt']"
