Tino Chrupalla	Q40895143
Bob Dylan	Q392
Michael Harig	Q1927697
Austin (disambiguation)	Q218287
Maria Zakharova	Q20812953
António Guterres	Q311440
Jörg Asmussen	Q73330
Anetta Kahane	Q529491
Saddam Hussein	Q1316
Eva Herrmann	Q1379214
Eva Braun	Q76433
Anne Frank	Q4583
Seneschal in Scandinavia	Q1260609
Philip II of Macedon	Q130650
Charles III, Prince of Monaco	Q382433
James Harrod	Q1680533
Diana, Princess of Wales	Q9685
Reiner Haseloff	Q69355
Peter the Great	Q8479
Angela Merkel	Q567
Alois Senefelder	Q161048
Stefan Berndtsson	Q125954657
Alois Irlmaier	Q45423
Herman Scholliner	Q107497
Helen of Troy	Q164061
Bill Gates	Q5284
Christoph Heusgen	Q1085167
Kamala Harris	Q10853588
Jamie-Lee Kriewitz	Q21764224
Ferdinand von Schill	Q72343
Jimmy Carter	Q23685
Christine Lambrecht	Q1083648
Robert Andres	Q104209629
Paul Valéry	Q200639
Sergei Shoigu	Q32024
Kristalina Georgieva	Q265277
Schrödinger equation	Q165498
Paul the Apostle	Q9200
Deniz Yücel	Q1187856
Billy Six	Q29534089
Per Georg Scheutz	Q964243
Sandro Mazzola	Q314856
Beta Pegasi	Q14258
Dmitry Polyanski	Q464051
Nikolai Ruzsky	Q952851
Joachim Gauck	Q2538
Kenny Burns	Q1738958
Jakub Kumoch	Q56340872
Demetrius of Thessaloniki	Q310633
Douglas MacArthur	Q127417
George Orwell	Q3335
Hubertus Heil	Q71534
Valery Gergiev	Q165693
Pyotr Ilyich Tchaikovsky	Q7315
Modest Mussorgsky	Q132682
Leo Tolstoy	Q7243
Franz Grillparzer	Q154438
Mathias Döpfner	Q107797
Bettina von Arnim	Q57236
Bettina Jarasch	Q849997
Joseph Goebbels	Q41749
Kathrin Göring	Q69554495
Giant panda	Q33602
Bertolt Brecht	Q38757
Andreas Hofmann (javelin thrower)	Q9151007
Dmitri Shostakovich	Q80135
Jan Böhmermann	Q1361675
Thuringian dialect	Q450013
Dirk Adams	Q1227729
Dietmar Woidke	Q99660
Peter Mayer	Q7175723
Ernst Schäfer	Q63962
Karl Wienert	Q29047467
Bruno Beger	Q68427
Ernst Hans Ludwig Krause	Q3057351
Heinrich Himmler	Q43067
Helena Blavatsky	Q189454
Jair Bolsonaro	Q10304982
Luiz Inácio Lula da Silva	Q37181
Alexandria Ocasio-Cortez	Q55223040
Jürgen Drews	Q84623
Florian Silbereisen	Q45430
Beatrice Egli	Q13360930
Klaus Lage	Q457829
Roland Kaiser	Q69263
Denis Diderot	Q448
Radosław Sikorski	Q58085
Kim Dotcom	Q60543
Ernst Kretschmer	Q60166
Konstantin von Notz	Q1710769
Malu Dreyer	Q84581
Johann Pistorius	Q95748
Karl Lausecker	Q1557780
Joschka Fischer	Q57344
Sebastian Kurz	Q2262885
Christian Drosten	Q1079331
Peter Thiel	Q705525
Thomas Mertens	Q2426106
Burks (disambiguation)	Q1016585
Georg Wilhelm Friedrich Hegel	Q9235
Karl Marx	Q9061
John F. Kennedy	Q9696
Alexander Schallenberg	Q64168538
Petro Poroshenko	Q58077
Ingbert Liebing	Q105355
Anna Netrebko	Q78516
Karl Albrecht Schachtschneider	Q75719
Egon Bahr	Q62206
Julius Brink	Q4590
Johanna Mikl-Leitner	Q87130
Herbert Kickl	Q1395041
Ottův slovník naučný	Q2041543
Leopard 2	Q151968
Ron DeSantis	Q3105215
M1 Abrams	Q173684
Amis people	Q205006
Rolf Mützenich	Q2163668
Anton Hofreiter	Q103519
Otto I, Holy Roman Emperor	Q43915
Alexander I of Russia	Q15193
Saint Maurice	Q316599
