Topic,Count,Name,Representation
-1,13,-1_einfach_hamas_israel_ukraine,"['einfach', 'hamas', 'israel', 'ukraine', 'corona', 'deutschland', 'pandemie', 'politik', 'daten', 'land']"
0,95,0_ukraine_deutschland_grad_euro,"['ukraine', 'deutschland', 'grad', 'euro', 'krieg', 'präsident', 'nacht', 'bleibt', 'temperaturen', 'millionen']"
1,33,1_ukraine_frage_soldaten_russen,"['ukraine', 'frage', 'soldaten', 'russen', 'armee', 'präsident', 'moskau', 'westen', 'stadt', 'bisschen']"
2,24,2_ukraine_krieg_china_deutschland,"['ukraine', 'krieg', 'china', 'deutschland', 'nochmal', 'land', 'welt', 'brics', 'länder', 'wichtig']"
3,17,3_angst_ukraine_soldaten_familie,"['angst', 'ukraine', 'soldaten', 'familie', 'kharkiv', 'bleiben', '2014', 'westen', 'kilometer', 'donbass']"
