Topic,Count,Name,Representation
-1,2,-1_stromversorgung_reaktoren_beschädigt_russen,"['stromversorgung', 'reaktoren', 'beschädigt', 'russen', 'fukushima', 'kraftwerk', 'moment', 'dieselgeneratoren', 'muraschow', 'ukrainischen']"
0,330,0_ukraine_deutschland_grad_krieg,"['ukraine', 'deutschland', 'grad', 'krieg', 'euro', 'präsident', 'nacht', 'bleibt', 'millionen', 'europa']"
1,141,1_ukraine_russland_russischen_eigentlich,"['ukraine', 'russland', 'russischen', 'eigentlich', 'china', 'deutschland', 'russen', 'usa', 'westen', 'soldaten']"
2,23,2_ukraine_russen_stadt_russland,"['ukraine', 'russen', 'stadt', 'russland', 'soldaten', 'angst', 'front', 'gesehen', 'leute', 'raketen']"
3,22,3_corona_impfung_covid_pandemie,"['corona', 'impfung', 'covid', 'pandemie', 'impfpflicht', 'lauterbach', 'long', 'infektion', 'patienten', 'eigentlich']"
4,17,4_leben_kiew_ukraine_stadt,"['leben', 'kiew', 'ukraine', 'stadt', 'angst', 'frauen', 'roman', 'musik', 'soldaten', 'kindern']"
